tmstmp, lat, lon, vid, rt, pid
20230816 15:58:17,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:08,29.646185,-82.32265333333335,1810,5,335
20230816 15:58:17,29.642476666666667,-82.27156166666667,710,11,4
20230824 17:35:11,29.63713085200328,-82.35886,1809,9,495
20230824 17:35:08,29.645546,-82.322725,2001,46,445
20230824 17:35:11,29.63713085200328,-82.35886,1809,9,495
20230824 17:35:08,29.645546,-82.322725,2001,46,445
20230824 17:35:30,29.63713085200328,-82.35886,1809,9,495
20230824 17:35:50,29.63713085200328,-82.35886,1809,9,495
20230824 17:36:07,29.63713085200328,-82.35886,1809,9,495
20230824 17:36:22,29.63713085200328,-82.35886,1809,9,495
20230824 17:36:38,29.63713085200328,-82.35886,1809,9,495
20230824 17:36:53,29.63713085200328,-82.35886,1809,9,495
20230824 17:37:08,29.63713085200328,-82.35886,1809,9,495
20230824 17:36:55,29.607235,-82.439404,4270,150,486
20230824 17:37:24,29.63713085200328,-82.35886,1809,9,495
20230824 17:37:10,29.607235,-82.439404,4270,150,486
20230824 17:37:24,29.63713085200328,-82.35886,1809,9,495
20230824 17:37:25,29.607235,-82.439404,4270,150,486
20230824 17:37:41,29.63713085200328,-82.35886,1809,9,495
20230824 17:37:41,29.607235,-82.439404,4270,150,486
20230824 17:37:56,29.63713085200328,-82.35886,1809,9,495
20230824 17:38:01,29.607235,-82.439404,4270,150,486
20230824 17:38:11,29.63713085200328,-82.35886,1809,9,495
20230824 17:38:16,29.600447988748286,-82.41822022011908,4270,150,486
20230824 17:38:28,29.63713085200328,-82.35886,1809,9,495
20230824 17:38:49,29.63713085200328,-82.35886,1809,9,495
20230824 17:38:41,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:39:05,29.63713085200328,-82.35886,1809,9,495
20230824 17:38:57,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:39:20,29.63713085200328,-82.35886,1809,9,495
20230824 17:39:27,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:39:36,29.63713085200328,-82.35886,1809,9,495
20230824 17:39:27,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:39:49,29.666588414912283,-82.32383515999842,2301,3,500
20230824 17:39:51,29.63713085200328,-82.35886,1809,9,495
20230824 17:39:47,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:40:06,29.666588414912283,-82.32383515999842,2301,3,500
20230824 17:40:06,29.63713085200328,-82.35886,1809,9,495
20230824 17:40:03,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:40:21,29.666588414912283,-82.32383515999842,2301,3,500
20230824 17:40:22,29.63713085200328,-82.35886,1809,9,495
20230824 17:40:19,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:40:36,29.666588414912283,-82.32383515999842,2301,3,500
20230824 17:40:37,29.63713085200328,-82.35886,1809,9,495
20230824 17:40:35,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:40:52,29.666588414912283,-82.32383515999842,2301,3,500
20230824 17:40:53,29.63713085200328,-82.35886,1809,9,495
20230824 17:40:50,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:41:07,29.666588414912283,-82.32383515999842,2301,3,500
20230824 17:40:53,29.63713085200328,-82.35886,1809,9,495
20230824 17:41:05,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:41:23,29.66658840804281,-82.32383350277587,2301,3,500
20230824 17:41:09,29.63713085200328,-82.35886,1809,9,495
20230824 17:41:21,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:41:38,29.66658840804281,-82.32383350277587,2301,3,500
20230824 17:41:24,29.63713085200328,-82.35886,1809,9,495
20230824 17:41:36,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:41:55,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:41:40,29.63713085200328,-82.35886,1809,9,495
20230824 17:41:52,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:41:55,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:41:55,29.63713085200328,-82.35886,1809,9,495
20230824 17:42:07,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:42:10,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:42:12,29.63713085200328,-82.35886,1809,9,495
20230824 17:42:22,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:42:27,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:42:27,29.63713085200328,-82.35886,1809,9,495
20230824 17:42:38,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:42:42,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:42:43,29.63713085200328,-82.35886,1809,9,495
20230824 17:42:53,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:42:57,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:42:58,29.63713085200328,-82.35886,1809,9,495
20230824 17:43:09,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:43:13,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:43:13,29.63713085200328,-82.35886,1809,9,495
20230824 17:43:16,29.621895000000002,-82.36560666666668,2110,38,189
20230824 17:43:24,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:43:28,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:43:29,29.63713085200328,-82.35886,1809,9,495
20230824 17:43:31,29.621895000000002,-82.36560666666668,2110,38,189
20230824 17:43:39,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:43:44,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:43:45,29.63713085200328,-82.35886,1809,9,495
20230824 17:43:48,29.621893333333333,-82.36561000000002,2110,38,189
20230824 17:43:55,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:43:59,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:44:00,29.63713085200328,-82.35886,1809,9,495
20230824 17:43:55,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:44:14,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:44:15,29.63713085200328,-82.35886,1809,9,495
20230824 17:44:10,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:44:30,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:44:31,29.63713085200328,-82.35886,1809,9,495
20230824 17:44:26,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:44:45,29.666588387397375,-82.32382852217657,2301,3,500
