vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
1602,20230911 16:31:20,29.62183166666667,-82.365685,100,189,38,Enclave,18654,False,0,1844,821172,10381,,0,EMPTY,57960,2023-09-11
1007,20230911 16:31:21,29.62649701897208,-82.37239829280166,357,190,38,HUB / UF Campus,4418,False,0,1847,821240,10383,,0,EMPTY,59100,2023-09-11
803,20230911 16:31:15,29.639626409042418,-82.34612450263924,5,190,38,HUB / UF Campus,14459,False,6,1845,821239,10385,,0,EMPTY,58500,2023-09-11
2112,20230911 16:31:10,29.67246000000475,-82.38887332000698,270,195,43,Santa Fe,30710,True,0,1904,821263,10431,,0,EMPTY,57120,2023-09-11
1903,20230911 16:31:15,29.638971666666666,-82.344115,218,487,43,UF Health,53597,False,0,1905,821279,10432,,0,EMPTY,57300,2023-09-11
2001,20230911 16:31:11,29.64888383744427,-82.33927,0,466,46,Rosa Parks / Downtown,3990,False,9,1938,821878,10461,,0,EMPTY,58980,2023-09-11
1010,20230911 16:31:13,29.659715753250776,-82.4151178288887,267,468,75,Butler Plaza Transfer Station,2551,False,15,1989,821425,10753,,0,EMPTY,59100,2023-09-11
1014,20230911 16:31:16,29.623070143561065,-82.38484051882035,91,500678,75,Oaks Mall,2339,False,22,1988,821443,10752,,0,EMPTY,59100,2023-09-11
1301,20230911 16:31:15,29.65798,-82.3371,181,490,122,Animal Science NW 7 Ave/12 ST,14,False,1,2249,823172,11221,,0,EMPTY,59400,2023-09-11
710,20230911 16:31:21,29.631600000000002,-82.35141166666666,138,499,122,Animal Science NW 7 Ave/12 ST,14,False,0,2250,823192,11222,,0,EMPTY,59640,2023-09-11
1101,20230911 16:31:12,29.642278546766512,-82.36452667765842,89,17,125,Lakeside/HUB,502,False,8,2325,822162,11252,,0,EMPTY,59400,2023-09-11
2002,20230911 16:31:14,29.644840512470033,-82.34640515361397,270,123,125,Lakeside/HUB,3510,False,9,2324,822123,11251,,0,EMPTY,59100,2023-09-11
712,20230911 16:31:11,29.645653476616758,-82.33366,180,218,127,Sorority Row-Turlington,3232,False,7,2433,822248,11272,,0,EMPTY,59460,2023-09-11
1302,20230911 16:31:11,29.644819637437305,-82.3434849575964,270,469,127,Sorority Row-Turlington,2750,False,11,2432,822205,11271,,0,EMPTY,59100,2023-09-11
4270,20230911 16:31:08,29.607235,-82.439404,359,486,150,UF Health,0,False,7,2472,821639,11504,,0,EMPTY,59400,2023-09-11
4380,20230911 16:31:12,29.640842961934695,-82.34608694973439,86,486,150,UF Health,42404,False,0,2470,821564,11503,,0,EMPTY,57600,2023-09-11
